Media,Date,Title,Url,Content
세계일보,2014.06.11,"동반성장지수 평가, '홈플러스' 3년 연속 최하위",http://www.segye.com/content/html/2014/06/11/20140611002562.html?OutUrl=naver,
세계일보,2014.06.12,아시아나항공 이어 이스타항공도 '운항정지' 중징계,http://www.segye.com/content/html/2014/06/12/20140612003820.html?OutUrl=naver,아시아나항공과 함께 이스타항공도 국토교통부에서 운항정지라는 중징계 처분을 받은 것으로 밝혀졌다.국토교통부는 행정처분심의위원회를 거쳐 올해 초 안전규정을 위반한 이스타항공에 여객기 1대의 운항을 5일간 정지한다는 처분 결과를 통보했다고 12일 밝혔다.이스타항공은 지난 1월 기체 출입문에 이상이 있다는 경고등이 떴는데도 이를 기록하지 않고 계속 운항한 사실이 국토부 특별안전점검에서 적발됐다.이스타항공은 올 초 말레이시아 코타키나발루에서 기체결함으로 30시간 늦게 출발한 일로 당시 국토부 감독관으로부터 특별점검을 받았다.항공사가 26일까지 이의를 제기하지 않으면 처분 결과는 그대로 확정된다. 운항정지 시기는 국토부와 이스타항공이 협의해서 정하게 된다.이스타항공 관계자는 오늘 통지서를 받았으니 내부 검토 후 후속 절차를 진행할 예정이라고 말했다. 이스타항공은 여객기 8대를 보유하고 있다.국토부는 전날 아시아나항공에는 인천사이판 노선 운항을 7일간 정지하는 중징계 처분을 통보했다. 아시아나항공은 허위보고한 사실까지 드러나 과징금 2000만원도 부과받았다.아시아나항공은 지난 4월 인천사이판 노선을 운항하다 항공기에 엔진 이상이 발견됐는데도 가까운 공항으로 회항하지 않고 목적지까지 운항을 강행해 안전규정을 위반했다.국토부는 서승환 장관이 지난달 항공사 사장단 간담회에서 항공사고나 안전규정 위반사례가 발생하면 과징금 대신 운항정지 위주의 강력한 처분을 할 계획이라고 밝힌 데 이어 이번에 항공사 2곳에 운항정지 처분을 내렸다.1997년 대한항공이 괌 추락사고로 운항정지 처분을 받았지만 사고가 나지 않았는데도 안전규정을 위반했다는 이유로 국토부가 항공사에 운항정지 처분을 결정한 것은 이번 아시아나항공과 이스타항공 사례가 처음이다.김현주 기자 hjksegye.com
세계일보,2014.06.17,대한항공의 한진해운 지분율 33.23%로 증가,http://www.segyefn.com/articles/article.asp?aid=20140617020137&cid=0503010000000?OutUrl=naver,한진해운은 대한항공이 제3자 배정 유상증자에 참여해 한진해운 보유주식이 7407만4074주 늘었다고 17일 공시했다.이로써 대한항공의 한진해운 주식 보유비율은 33.23가 됐다.세계파이낸스 뉴스팀 fnsegyefnfn.com
세계일보,2014.06.25,"한국의 재벌 부자들 편법·탈법 동원, 미국 부동산 사들여",http://www.segye.com/content/html/2014/06/25/20140625001941.html?OutUrl=naver,
세계일보,2014.06.28,"대한항공, 美에서 손배 피소…사측 ""전면 부인""",http://www.segye.com/content/html/2014/06/28/20140628000700.html?OutUrl=naver,뉴욕의 한 남성이 대한항공의 JFK공항 화물창고에서 하역작업 도중 추락사고를 당했다며 대한항공을 상대로 무려 2500만달러약 262억원의 소송을 뉴욕 퀸즈 법원에 제기한 사실이 뒤늦게 알려졌다.27일 뉴욕한국일보에 따르면 사고는 지난 2012년 6월16일 JFK공항내 9번 빌딩인 대한항공 화물창고에서 발생했다. 당시 대한항공의 협력사 직원 신분으로 하역작업을 하던 프렘다트 부디알씨는 자신이 올라 서 있던 자동 리프트 기계가 갑자기 급강하하면서 큰 부상을 입는 사고를 당했다.부디알 씨의 변호인은 소장에서 위험한 작업 임에도 안전교육이 전혀 없었고 위험을 경고하는 문구가 없는 등 대한항공이 작업환경에 대한 안전조치가 미흡했다며 손해배상금으로 2500만달러를 청구했다.이에 대해 대한항공 측은 소장 답변서에서 관련 내용을 전면 부인한 것으로 알려졌다.김현주 기자 hjksegye.com
세계일보,2014.06.30,"[GO! ViVa 브라질] 대표팀 조용한 귀국, 곧장 해산",http://www.segye.com/content/html/2014/06/30/20140630000403.html?OutUrl=naver,한국 월드컵축구대표팀이 30일 오전 인천국제공항을 통해 귀국했다.홍명보 감독이 이끄는 대표팀은 대한항공편을 이용해 브라질 상파울루에서 출발해 미국 로스앤젤레스를 거쳐 이날 오전 4시 45분 귀국했다.축구대표팀은 2014브라질월드컵 H조 조별리그에서 1무2패로 최악의 성적을 남겼다.한국은 18일 러시아와의 1차전에서 11로 비긴 후 알제리에 24 벨기에에 01로 연달아 졌다.월드컵 역사상 한국은 1954스위스월드컵 2전 전패 1990이탈리아월드컵 3전전패에 이어 가장 나쁜 성적이다.이날 공항에는 정몽규 대한축구협회장과 최순호 부회장 등 축구협회 관계자들이 나와 선수단을 격려했다.하지만 대표팀의 부진에 실망한 일부 팬들은 준비해온 호박엿과 사탕을 집어던져 대표팀을 당황케 만들었다.홍명보 감독은 월드컵 기간 국민 여러분께서 많은 성원을 보내주셨는데 이에 보답하지 못해 죄송하게 생각한다고 말했다.귀국한 대표팀은 인천공항에서 바로 해산 각자 소속팀으로 돌아갔다.박태훈 기자 buckbaksegye.com
세계일보,2014.07.08,10대 부실 대기업그룹 건전성 '빨간불',http://www.segyefn.com/articles/article.asp?aid=20140708020320&cid=0503010000000?OutUrl=naver,강도 높은 구조조정을 추진해야 하는 10대 부실 대기업그룹의 부채비율이 1년 전보다 나빠져 평균 260를 넘었다.이들 그룹 계열사 5개 중 2개가 부채 과다나 자본잠식 상태에 놓였으나 총수 가족은 주력 계열사의 지배력을 늘려온 것으로 조사됐다.8일 재벌닷컴과 금융투자업계에 따르면 주채권은행과 재무구조 개선 약정 체결 대상에 선정된 대기업 기업집단 10곳의 부채비율은 지난해 말 267.4로 1년 전보다 19.9포인트 높아졌다.대상 집단은 약정 체결 대상 14개 그룹 중 4곳을 제외하고 한진금호아시아나동부현대동국제강한진중공업한라현대산업개발대성대우건설 등이다.그룹별로 보면 현대그룹 부채비율이 2012년 404.1에서 지난해 540.5로 올라가 10개 재벌그룹 중 가장 높았다. 한진그룹도 452.3로 1년 전보다 20.2포인트 악화했다.대우건설집단의 부채비율은 277.9로 1년 전보다 93.3포인트 높아졌다.이들 대기업집단에서 재무 건전성이 취약한 계열은 109개사로 전체294개사의 37.1로 집계됐다. 74개 계열은 부채 과다 35개 계열은 자본잠식 상태에 각각 놓여 있다.한진중공업과 동부 현대 현대산업개발 등의 대기업집단에선 부채 과다와 자본잠식 계열사가 절반을 넘었다.한진중공업그룹은 계열사 10개 중 7곳의 재무상황이 취약한 상태다. 동부그룹은 52개 계열 중에서 60 수준인 31개사가 부채과다와 자본잠식 등의 상태에 있다.현대그룹의 해영선박1098.9과 현대상선1396.9 한진그룹의 한진해운1444.7 금호아시아나그룹의 금호산업1483.6 대우건설에선 강동프로젝트금융투자1574.3와 임고개발1874.7 등의 부채비율이 1천를 넘는다.금호그룹의 금호알에이시 한라그룹의 에이치워터 한진그룹의 한진퍼시픽 동국제강그룹의 국제종합기계와 디케이아즈텍 현대산업개발그룹의 현대아이파크몰과 호텔아이파크 대성의 남곡이지구와 코리아닷컴커뮤니케이션즈 등 계열은 자본잠식 상태다.그러나 이들 그룹의 총수 일가는 2008년 세계 금융위기 이후 주력 계열사에 대한 지배력을 확대해온 것으로 나타났다.감사보고서 상 조양호 한진그룹 회장 가족의 대한항공 보유 지분은 자녀 증여로 2009년 9.9에서 지난해 말 10.0로 0.1포인트 늘어났다. 박삼구 금호그룹 회장 가족은 2009년 4.84에 불과하던 금호산업 지분을 10.3로 끌어올렸다.정몽원 한라그룹 회장 측의 한라 보유 지분은 24.06로 자녀 지분 증가 덕에 4년 전보다 7.0포인트나 확대됐다. 장세주 동국제강 회장 가족 지분도 0.20포인트 늘어났다. 김영대 대성산업 대표이사 회장 가족의 대성합동지주 보유 지분이 48.82로 2009년보다 4.52포인트 늘어났다.류승협 한국신용평가 기업그룹평가본부 실장은 세계 금융위기 이후 그룹들의 실적 부진이 쌓였고 특히 건설해운 등 계열사의 부진이 그룹 전체의 신용 이슈로 번지게 됐다며 이들 그룹이 부채에 대한 이자 이상을 벌고 부채를 갚을 수 있는지 시장 우려가 커진 상황이라고 지적했다.세계파이낸스 뉴스팀 fnsegyefnfn.com 연합뉴스
세계일보,2014.07.16,"조현민 대한항공 전무, 해외 배낭여행 관련 동화책 출간",http://www.segye.com/content/html/2014/07/16/20140716003388.html?OutUrl=naver,조양호 한진그룹 회장의 막내딸인 조현민 대한항공 전무가 16일 여행을 소재로 한 동화책을 펴냈다.
세계일보,2014.07.23,10대그룹 배당수익률 0.82%…초저금리인 은행이자 절반에도 못미쳐,http://www.segye.com/content/html/2014/07/23/20140723000397.html?OutUrl=naver,10대 재벌그룹 상장사들의 배당 수익률이 1선에도 턱걸이하지 못해 초저금리인 은행 이자의 절반에도 미치지 못하는 것으로 드러났다.23일 재벌닷컴에 따르면 자산 상위 10대 재벌그룹 소속 92개 상장사의 지난해 중간 배당금을 포함한 결산 배당수익률은 평균 0.82였다.이는 최근 연 1.9대로 낮아진 시중은행의 1년만기 정기예금 금리의 절반도 안돼 시쳇말로 은행에 돈을 썩혀 놓는 것보다 못하다.10대 그룹 상장사의 배당수익률은 지난 2011년 1.16에서 2012년 0.99로 1 미만으로 떨어지고선 지난해에 0.8까지 추락했다.배당수익률은 투자자들이 주식에 투자해 얻을 수 있는 수익성을 나타내는 지표로 1주당 배당액을 배당 시점의 주가로 나눈 비율이다.롯데그룹8개사은 2011년 0.36 2012년 0.23 지난해 0.21 등으로 매년 0.20.3대의 배당수익률을 기록해 3년 연속 10대 그룹 중 배당률이 가장 낮았다.현대차그룹11개사 역시 2012년 0.6에서 지난해 0.58로 하락해 평균을 밑돌았다.증권가 간판스타 삼성그룹16개사의 배당수익률은 2011년 1.21 2012년 1.10에서 지난해 0.80로 떨어져 10대 그룹 평균 배당수익률에도 못 미쳤다.현대중공업그룹3개사의 배당수익률은 지난해 배당금 급감으로 0.91에 그쳐 처음으로 1 미만으로 추락했다.LG그룹11개사은 배당수익률이 2011년 0.93에서 2012년 0.82 지난해 다시 0.95로 상승했다.10대 그룹 중에서 배당수익률이 1 이상인 곳은 지난해 SK GS 한화 등 3개 그룹뿐이다.10대 그룹 중 배당수익률이 가장 높은 곳은 GS그룹8개사이다. GS그룹 상장 계열사들은 지난해 4000억원대의 적자를 냈으나 1895억원을 배당해 1.19의 배당수익률을 기록했다. 하지만 이 배당수익률도 2011년 1.56에서 2012년 1.26로 지속적으로 낮아졌다.한화그룹6개사은 2011년 1.79 2012년 1.42 지난해 1.12 등으로 3년 연속 1를 넘었다.SK그룹도 2011년 1.55 2012년 1.40 지난해 1.07 등으로 1 이상의 배당수익률을 기록했다.10대 그룹 소속 92개 상장사 중에서 지난해 배당수익률이 1를 넘은 곳은 전체의 35.9인 33개사였다.회사별 배당수익률은 SK텔레콤이 4.1로 가장 높고 한화갤러리아타임월드 3.2 삼양통상 2.88 부산도시가스 2.62 지투알 2.6 포스코 2.45 GS 2.4 등 순이었다.삼성전자의 배당수익률은 1.0였으며 현대자동차는 전년과 같은 0.9에 그쳤다.LG전자와 롯데쇼핑은 0.3대 저조한 배당수익률을 기록했고 LG디스플레이와 SK하이닉스 대한항공 한진해운 등들은 지난해 아예 배당을 하지 않아 배당수익률이 0였다.10대 그룹의 배당액은 2011년 6조7521억원에서 지난해 7조2985억원으로 8.1 늘어났다.그룹별 배당액은 삼성과 현대차 SK LG그룹 등 상위 4대 그룹은 늘어났으나 롯데 포스코 현대중공업 한진 한화그룹 등 6곳은 감소했다.금융투자업계 등에선 주식투자 활성화 등을 위해서는 시가배당제도배당기준 주가 대비 일정 수준을 배당하는 제도를 도입해야 한다는 목소리가 높아지고 있다.박태훈 기자 buckbaksegye.com
세계일보,2014.07.24,최근 40여년간 2년에 한번꼴로 대형 항공사고,http://www.segye.com/content/html/2014/07/24/20140724000143.html?OutUrl=naver,승객과 승무원 58명을 태운 대만 소형 항공기가 23일 오후 악천후속에서  대만 펑후섬 마공 공항에 비상착륙을 시도하다 동체 앞부분이 부딪치면서 47명이 숨지고 11명이 다치는 대형참사가 일어났다. 지난 17일 말레이시아 민항기 격추에 이은 또 하나의 항공사고이다.이처럼 항공사고는 특성상 사상자가 많이 발생 철저한 안전의식이 무엇보다 중요하다.1980년이후 최근 40여년간 발생한 주요 항공사고를 묶었다. 1983년 9월 1일  대한항공 보잉 747여객기 사할린 부근 상공서 소련 전투기의 미사일에 격추. 승객 269명 전원 사망. 1987년 11월 29일  대한항공 보잉 707여객기 인도양 안다만 상공서 김현희 등의 폭파로 추락. 승객 115명 전원 사망. 1994년 4월 26일  중화항공 소속 에어버스 A300기 일본 나고야 공항서 착륙 도중 지상 충돌로 화재. 탑승자 272명 중 264명 사망. 1996년 7월 17일  TWA 소속 보잉747기 폭발 후 뉴욕 롱아일랜드 인근 대서양으로 추락. 230명 사망. 1996년 11월 12일  사우디항공 소속 보잉747기 인도 뉴델리 인근서 카자흐스탄 화물기와 충돌. 349명 사망 1997년 8월 6일 대한항공 소속 보잉 747기 괌에서 추락. 228명 사망. 1997년 9월 26일  인도네시아 가루다 항공 소속 에어버스 A300기 인도네시아 메단 공항 인근서 추락. 234명 사망. 1998년 2월 16일  중화항공 소속 에어버스 A300기 타이베이 공항 착륙 도중 추락. 203명 사망. 1998년 9월 2일  스위스 항공 소속 MD11여객기 캐나다 노바스코샤 인근 대서양에 추락. 229명 사망. 1999년 10월 31일  이집트 항공 소속 보잉767기 미국 매사추세츠 낸터켓섬 인근서 추락. 217명 사망. 2001년 11월 12일  아메리칸에어라인 소속 에어버스 A300기 뉴욕 JFK공항 이륙 후 추락. 265명 사망. 2002년 5월 25일  중화항공 소속 보잉 747기 공중 분해후 대만 해협에 추락. 225명 사망. 2003년 2월 19일  이란혁명수비대 군용기 산악지대 추락. 275명 사망. 2009년 6월 1일  에어프랑스 소속 에어버스 A330기가 브라질 리우데자네이루 공항 이륙 후 브라질 북동부 대서양 상에서 추락. 228명 사망. 2009년 6월 30일  예멘 국영 예메니아항공 에어버스 310기가 예멘 사나공항 이륙 후 아프리카 코모로 해역에 추락. 승객 153명 중 152명 사망. 2010년 4월 10일  레흐 카친스키 폴란드 대통령 부부 등이 탑승한 비행기 러시아 서부 스몰렌스크 인근에서 추락. 탑승 96명 전원 사망.2010년 5월 12일  아프리카항공 여객기가 리비아 트리폴리 공항에 착륙을 시도하던 중 활주로 인근 사막에 추락. 103명 사망. 2010년 5월 22일  에어인디아 소속 보잉737 여객기가 인도 남부 망갈로르의 공항에 착륙하던 중 활주로를 이탈해 추락. 158명 사망. 2013년 7월 6일  아시아나항공 보잉 777200 여객기 미국 샌프란시스코 국제공항에 착륙하다 충돌 사고. 중국인 여학생 3명 사망하고 180여 명 부상. 2014년 3월 8일  말레이시아 항공 보잉 777200 여객기가 쿠알라룸푸르를 이륙해 중국 베이징으로 향하다 인도양 남부에 추락. 승객과 승무원 등 239명 행방불명. 2014년 7월 17일  말레이시아 항공 보잉 777 여객기가 네덜란드 암스테르담을 출발해 말레이시아 쿠알라룸푸르로 향하던 중 미사일에 격추돼 승객과 승무원 295명이 전원 사망. 2014년 7월 23일 대만 푸싱 항공 소속 GE222 소형항공기가 대만 펑후섬 마공 공항 인근에서 비상착륙을 하다 47명 사망 11명 부상.박태훈 기자 buckbaksegye.com
